0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:02 +0200] "GET /WebShopREST/rest/kupac/dobaviPoId/1 HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:17 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:23 +0200] "GET /WebShopREST/rest/vozilo/dobaviSlobodne/2023-07-29/2023-07-31 HTTP/1.1" 200 13076
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:25 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:25 +0200] "GET /WebShopREST/rest/vozilo/dobaviVozila/2,3 HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:25 +0200] "GET /WebShopREST/rest/kupac/dobaviPoId/1 HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:28 +0200] "GET /WebShopREST/rest/vozilo/dobaviObjekte/2,3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:28 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviZaSvakiId/2,3 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:28 +0200] "POST /WebShopREST/rest/porudzbina/dodaj HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:28 +0200] "PUT /WebShopREST/rest/kupac/dodajBodove/remacar/37240 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:33 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:33 +0200] "GET /WebShopREST/rest/lokacije/dobaviSveAdrese HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:33 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:11:35 +0200] "GET /WebShopREST/profile.css HTTP/1.1" 404 778
